geoid,year,HIV
1001,2012,15.5
1003,2012,7.5
1005,2012,14.71
1007,2012,17.7
1009,2012,6.92
1011,2012,38.19
1013,2012,40.7
1015,2012,17.2
1017,2012,11.74
1019,2012,15.37
1021,2012,6.85
1023,2012,0
1025,2012,15.9
1027,2012,22.33
1029,2012,0
1031,2012,7.8
1033,2012,5.51
1035,2012,23.11
1037,2012,36.48
1039,2012,7.9
1041,2012,28.4
1043,2012,3.73
1045,2012,7.93
1047,2012,37.3
1049,2012,10.3
1051,2012,7.4
1053,2012,15.7
1055,2012,10.2
1057,2012,23.55
1059,2012,0
1061,2012,14.85
1063,2012,33.8
1065,2012,19.5
1067,2012,23.14
1069,2012,19.9
1071,2012,5.66
1073,2012,34.4
1075,2012,21.04
1077,2012,8.9
1079,2012,11.82
1081,2012,14.4
1083,2012,4.56
1085,2012,0
1087,2012,14.61
1089,2012,13.9
1091,2012,0
1093,2012,13.19
1095,2012,3.17
1097,2012,26.3
1099,2012,17.7
1101,2012,37
1103,2012,3.32
1105,2012,39.29
1107,2012,36.9
1109,2012,17.5
1111,2012,0
1113,2012,14.9
1115,2012,7.1
1117,2012,7.3
1119,2012,22.34
1121,2012,7.2
1123,2012,9.72
1125,2012,18.4
1127,2012,4.53
1129,2012,23.38
1131,2012,0
1133,2012,0
2013,2012,94.91
2016,2012,72.11
2020,2012,1
2050,2012,16.91
2060,2012,302.72
2068,2012,213.33
2070,2012,79.46
2090,2012,3.99
2100,2012,117.55
2110,2012,12.29
2122,2012,7.03
2130,2012,29.03
2150,2012,28.09
2158,2012,38.42
2164,2012,241.84
2170,2012,4.26
2180,2012,30.26
2185,2012,31.11
2188,2012,51.22
2220,2012,44.22
2240,2012,55.99
2261,2012,41.16
2282,2012,598.8
2290,2012,69.32
4001,2012,17.6
4003,2012,5.4
4005,2012,5.3
4007,2012,0
4009,2012,0
4011,2012,45.44
4012,2012,0
4013,2012,14.6
4015,2012,2.9
4017,2012,7
4019,2012,8.9
4021,2012,6.4
4023,2012,6.34
4025,2012,3.2
4027,2012,8
5001,2012,21.17
5003,2012,0
5005,2012,0
5007,2012,5.3
5009,2012,8.04
5011,2012,0
5013,2012,0
5015,2012,14.49
5017,2012,26.24
5019,2012,0
5021,2012,0
5023,2012,11.62
5025,2012,46.37
5027,2012,12.26
5029,2012,0
5031,2012,4.01
5033,2012,0
5035,2012,17.5
5037,2012,22.62
5039,2012,0
5041,2012,0
5043,2012,0
5045,2012,12.3
5047,2012,22.17
5049,2012,0
5051,2012,10.9
5053,2012,16.68
5055,2012,0
5057,2012,13.41
5059,2012,0
5061,2012,29.12
5063,2012,8.1
5065,2012,0
5067,2012,17.05
5069,2012,9.6
5071,2012,15.44
5073,2012,40.28
5075,2012,0
5077,2012,29.37
5079,2012,28.37
5081,2012,30.96
5083,2012,0
5085,2012,5.73
5087,2012,25.57
5089,2012,24.14
5091,2012,16.7
5093,2012,13.7
5095,2012,0
5097,2012,0
5099,2012,0
5101,2012,0
5103,2012,15.75
5105,2012,29.02
5107,2012,19.25
5109,2012,0
5111,2012,0
5113,2012,0
5115,2012,6.37
5117,2012,0
5119,2012,31.8
5121,2012,0
5123,2012,14.36
5125,2012,3.58
5127,2012,0
5129,2012,0
5131,2012,5.7
5133,2012,17.47
5135,2012,0
5137,2012,0
5139,2012,7.34
5141,2012,23.49
5143,2012,10.5
5145,2012,3.82
5147,2012,0
5149,2012,18.24
6001,2012,17.7
6003,2012,0
6005,2012,10.8
6007,2012,4.8
6009,2012,0
6011,2012,18.68
6013,2012,10.1
6015,2012,0
6017,2012,1.66
6019,2012,13.6
6021,2012,10.72
6023,2012,2.97
6025,2012,11.4
6027,2012,0
6029,2012,14.1
6031,2012,6.6
6033,2012,4.69
6035,2012,11.88
6037,2012,24.7
6039,2012,9.1
6041,2012,5
6043,2012,16.76
6045,2012,3.43
6047,2012,6.4
6049,2012,0
6051,2012,0
6053,2012,7.3
6055,2012,2.16
6057,2012,7
6059,2012,10.1
6061,2012,5
6063,2012,0
6065,2012,13.7
6067,2012,15.4
6069,2012,0
6071,2012,11.6
6073,2012,17.7
6075,2012,60.4
6077,2012,8.6
6079,2012,7.6
6081,2012,11.1
6083,2012,8.6
6085,2012,8.8
6087,2012,9.2
6089,2012,2.24
6091,2012,0
6093,2012,9.06
6095,2012,11.2
6097,2012,9.9
6099,2012,7.4
6101,2012,3.16
6103,2012,4.73
6105,2012,0
6107,2012,8.4
6109,2012,7.41
6111,2012,6.7
6113,2012,7.5
6115,2012,5.49
8001,2012,11.8
8003,2012,18.58
8005,2012,10.5
8007,2012,33.14
8009,2012,0
8011,2012,0
8013,2012,3.8
8014,2012,6.86
8015,2012,16.53
8017,2012,0
8019,2012,33.24
8021,2012,48.34
8023,2012,0
8025,2012,0
8027,2012,0
8029,2012,0
8031,2012,27.5
8033,2012,0
8035,2012,4.7
8037,2012,7.71
8039,2012,12.83
8041,2012,4.4
8043,2012,12.1
8045,2012,7.02
8047,2012,54.63
8049,2012,0
8051,2012,0
8053,2012,0
8055,2012,0
8057,2012,0
8059,2012,5.6
8061,2012,0
8063,2012,37.06
8065,2012,0
8067,2012,7.63
8069,2012,3.4
8071,2012,0
8073,2012,0
8075,2012,0
8077,2012,7.3
8079,2012,0
8081,2012,0
8083,2012,0
8085,2012,0
8087,2012,0
8089,2012,21.39
8091,2012,0
8093,2012,0
8095,2012,0
8097,2012,0
8099,2012,0
8101,2012,5.2
8103,2012,43.75
8105,2012,25.12
8107,2012,0
8109,2012,0
8111,2012,0
8113,2012,0
8115,2012,0
8117,2012,14.26
8119,2012,17.1
8121,2012,0
8123,2012,2.8
8125,2012,39.53
9001,2012,9.8
9003,2012,11.7
9005,2012,2.13
9007,2012,4.9
9009,2012,13.1
9011,2012,6
9013,2012,2.64
9015,2012,3.4
10001,2012,19.6
10003,2012,20.1
10005,2012,10.4
11001,2012,103.1
12001,2012,22.4
12003,2012,14.77
12005,2012,11.7
12007,2012,11.09
12009,2012,13.1
12011,2012,43.7
12013,2012,20.38
12015,2012,7.5
12017,2012,5.6
12019,2012,13.1
12021,2012,11.8
12023,2012,15.8
12027,2012,16.9
12029,2012,24.8
12031,2012,43.2
12033,2012,19.1
12035,2012,11.7
12037,2012,49.1
12039,2012,33.6
12041,2012,17.84
12043,2012,30.52
12045,2012,25.45
12047,2012,27.2
12049,2012,14.54
12051,2012,16.6
12053,2012,4
12055,2012,4.08
12057,2012,24.6
12059,2012,15.15
12061,2012,11.4
12063,2012,32.9
12065,2012,28.06
12067,2012,45.43
12069,2012,10
12071,2012,16
12073,2012,31.4
12075,2012,9.99
12077,2012,48.33
12079,2012,15.87
12081,2012,13.3
12083,2012,13.5
12085,2012,5.3
12086,2012,51.9
12087,2012,30.1
12089,2012,4.02
12091,2012,10.7
12093,2012,7.6
12095,2012,43
12097,2012,14.8
12099,2012,22.2
12101,2012,11
12103,2012,21.4
12105,2012,16.9
12107,2012,19.6
12109,2012,8.8
12111,2012,16.7
12113,2012,13.6
12115,2012,8.7
12117,2012,9.6
12119,2012,17.8
12121,2012,19
12123,2012,17.59
12125,2012,60.7
12127,2012,12.5
12129,2012,9.73
12131,2012,12.3
12133,2012,12.05
13001,2012,39.9
13003,2012,48.29
13005,2012,26.79
13007,2012,118.84
13009,2012,8.63
13011,2012,33.2
13013,2012,16.1
13015,2012,20.8
13017,2012,42.3
13019,2012,38
13021,2012,45.4
13023,2012,30.98
13025,2012,16.14
13027,2012,38.2
13029,2012,12.42
13031,2012,36.8
13033,2012,43.1
13035,2012,86.2
13037,2012,0
13039,2012,14.4
13043,2012,26.99
13045,2012,12
13047,2012,14.9
13049,2012,0
13051,2012,34.3
13053,2012,0
13055,2012,15.55
13057,2012,10.1
13059,2012,18.3
13061,2012,128.37
13063,2012,82.3
13065,2012,59.54
13067,2012,27.8
13069,2012,9.27
13071,2012,38.1
13073,2012,16.7
13075,2012,23.64
13077,2012,15.1
13079,2012,31.75
13081,2012,56.7
13083,2012,0
13085,2012,17.84
13087,2012,44.3
13089,2012,82.6
13091,2012,14.07
13093,2012,0
13095,2012,59.7
13097,2012,14.9
13099,2012,28.32
13101,2012,100.3
13103,2012,11.6
13105,2012,20.32
13107,2012,37.8
13109,2012,37.42
13111,2012,0
13113,2012,19.9
13115,2012,6.3
13117,2012,4.8
13119,2012,18.27
13121,2012,72.5
13123,2012,0
13125,2012,0
13127,2012,29.8
13129,2012,0
13131,2012,53.6
13133,2012,24.86
13135,2012,15
13137,2012,9.19
13139,2012,6.1
13141,2012,44.46
13143,2012,0
13145,2012,18.2
13147,2012,23.2
13149,2012,34.38
13151,2012,8.9
13153,2012,15.2
13155,2012,41.67
13157,2012,6.6
13159,2012,29.35
13161,2012,26.39
13163,2012,24.34
13165,2012,0
13167,2012,30.31
13169,2012,10.5
13171,2012,32.8
13173,2012,38.46
13175,2012,43.5
13177,2012,0
13179,2012,20.3
13181,2012,51.7
13183,2012,0
13185,2012,26.6
13187,2012,0
13189,2012,0
13191,2012,21.68
13193,2012,28.04
13195,2012,14.33
13197,2012,45.92
13199,2012,18.8
13201,2012,0
13205,2012,12.96
13207,2012,15.02
13209,2012,44.88
13211,2012,16.78
13213,2012,10.15
13215,2012,37.6
13217,2012,16
13219,2012,0
13221,2012,20.52
13223,2012,2.76
13225,2012,14.48
13227,2012,0
13229,2012,15.92
13231,2012,0
13233,2012,9.71
13235,2012,34.13
13237,2012,18.87
13239,2012,166.39
13241,2012,18.41
13243,2012,0
13245,2012,33.7
13247,2012,10
13249,2012,80.16
13251,2012,21.12
13253,2012,44.71
13255,2012,6.26
13257,2012,15.45
13259,2012,66.2
13261,2012,23.1
13263,2012,0
13265,2012,0
13267,2012,11.82
13269,2012,35.63
13271,2012,24.47
13273,2012,33.17
13275,2012,19.1
13277,2012,23.8
13279,2012,14.64
13281,2012,0
13283,2012,59.09
13285,2012,5.84
13287,2012,0
13289,2012,0
13291,2012,0
13293,2012,11.27
13295,2012,5.87
13297,2012,4.73
13299,2012,23.6
13301,2012,0
13303,2012,19.16
13305,2012,13.2
13307,2012,0
13309,2012,0
13311,2012,0
13313,2012,12.2
13315,2012,44.11
13317,2012,39.7
13319,2012,31.33
13321,2012,0
15001,2012,5.1
15003,2012,7.6
15005,2012,0
15007,2012,5.85
15009,2012,7.5
16001,2012,5.7
16003,2012,0
16005,2012,0
16007,2012,0
16009,2012,0
16011,2012,0
16013,2012,0
16015,2012,0
16017,2012,0
16019,2012,3.75
16021,2012,0
16023,2012,0
16025,2012,0
16027,2012,3.3
16029,2012,0
16031,2012,0
16033,2012,0
16035,2012,0
16037,2012,0
16039,2012,0
16041,2012,0
16043,2012,0
16045,2012,0
16047,2012,0
16049,2012,0
16051,2012,0
16053,2012,17.78
16055,2012,2.81
16057,2012,10.48
16059,2012,0
16061,2012,0
16063,2012,0
16065,2012,0
16067,2012,0
16069,2012,7.59
16071,2012,0
16073,2012,0
16075,2012,0
16077,2012,0
16079,2012,23.62
16081,2012,0
16083,2012,3.82
16085,2012,41.91
16087,2012,0
17001,2012,4.46
17003,2012,51.63
17005,2012,0
17007,2012,7.42
17009,2012,57.85
17011,2012,0
17013,2012,0
17015,2012,26.65
17017,2012,0
17019,2012,10.8
17021,2012,8.66
17023,2012,0
17025,2012,29.06
17027,2012,10.51
17029,2012,5.59
17031,2012,28.5
17033,2012,15.31
17035,2012,0
17037,2012,10.3
17039,2012,0
17041,2012,0
17043,2012,4
17045,2012,0
17047,2012,0
17049,2012,0
17051,2012,26.7
17053,2012,0
17055,2012,7.61
17057,2012,10.91
17059,2012,0
17061,2012,0
17063,2012,7.96
17065,2012,0
17067,2012,0
17069,2012,0
17071,2012,0
17073,2012,7.98
17075,2012,0
17077,2012,9.7
17079,2012,0
17081,2012,10.33
17083,2012,17.59
17085,2012,13.3
17087,2012,0
17089,2012,5.8
17091,2012,2.65
17093,2012,3.39
17095,2012,7.66
17097,2012,8.5
17099,2012,3.54
17101,2012,24.09
17103,2012,11.42
17105,2012,10.35
17107,2012,10
17109,2012,0
17111,2012,2.4
17113,2012,4.8
17115,2012,9.7
17117,2012,8.47
17119,2012,10.7
17121,2012,10.28
17123,2012,0
17125,2012,0
17127,2012,0
17129,2012,0
17131,2012,0
17133,2012,0
17135,2012,10.13
17137,2012,0
17139,2012,0
17141,2012,0
17143,2012,7.1
17145,2012,13.6
17147,2012,0
17149,2012,0
17151,2012,93.63
17153,2012,50.02
17155,2012,0
17157,2012,0
17159,2012,0
17161,2012,8.1
17163,2012,18.5
17165,2012,0
17167,2012,8.4
17169,2012,0
17171,2012,75.61
17173,2012,0
17175,2012,0
17177,2012,8.52
17179,2012,2.94
17181,2012,22.67
17183,2012,4.95
17185,2012,0
17187,2012,0
17189,2012,0
17191,2012,0
17193,2012,20.59
17195,2012,6.91
17197,2012,6.5
17199,2012,6
17201,2012,8.3
17203,2012,0
18001,2012,0
18003,2012,8.2
18005,2012,5.06
18007,2012,0
18009,2012,0
18011,2012,6.79
18013,2012,0
18015,2012,0
18017,2012,0
18019,2012,14
18021,2012,14.9
18023,2012,0
18025,2012,0
18027,2012,9.36
18029,2012,8.03
18031,2012,15.36
18033,2012,9.45
18035,2012,6.9
18037,2012,9.51
18039,2012,7
18041,2012,16.65
18043,2012,8
18045,2012,0
18047,2012,0
18049,2012,0
18051,2012,11.96
18053,2012,0
18055,2012,9.11
18057,2012,5.7
18059,2012,5.64
18061,2012,0
18063,2012,4.9
18065,2012,6.08
18067,2012,0
18069,2012,0
18071,2012,9.28
18073,2012,11.96
18075,2012,18.72
18077,2012,12.29
18079,2012,0
18081,2012,2.79
18083,2012,10.49
18085,2012,5.15
18087,2012,0
18089,2012,13.5
18091,2012,7.5
18093,2012,8.68
18095,2012,5.5
18097,2012,26.7
18099,2012,0
18101,2012,0
18103,2012,8.22
18105,2012,8
18107,2012,0
18109,2012,5.77
18111,2012,28.48
18113,2012,8.41
18115,2012,65.8
18117,2012,15.24
18119,2012,0
18121,2012,23.43
18123,2012,0
18125,2012,0
18127,2012,6.5
18129,2012,0
18131,2012,0
18133,2012,10.6
18135,2012,0
18137,2012,0
18139,2012,0
18141,2012,15.9
18143,2012,16.81
18145,2012,0
18147,2012,0
18149,2012,17.23
18151,2012,0
18153,2012,0
